organization,imei,plate_number,,,
Metro,25417,25417,,,
Metro,25412,25412,,,
Metro,25462,25462,,,
Metro,48026,48026,,,
Metro,25496,25496,,,
Metro,48005,48005,,,
Metro,25422,25422,,,
Metro,48017,48017,,,
Metro,25485,25485,,,
Metro,25419,25419,,,
Metro,48024,48024,,,
Metro,25474,25474,,,
Metro,48118,48118,,,
Metro,48096,48096,,,
Metro,48060,48060,,,
Metro,48053,48053,,,
Metro,48068,48068,,,
Metro,48100,48100,,,
Metro,48114,48114,,,
Metro,48063,48063,,,
Metro,48135,48135,,,
Metro,48085,48085,,,
Metro,48196,48196,,,
Metro,48209,48209,,,
Metro,48197,48197,,,
Metro,48270,48270,,,
Metro,48153,48153,,,
Metro,48239,48239,,,
Metro,48166,48166,,,
Metro,48214,48214,,,
Metro,48175,48175,,,
Metro,48226,48226,,,
Metro,48279,48279,,,
Metro,48286,48286,,,
Metro,48305,48305,,,
Metro,48275,48275,,,
Metro,48295,48295,,,
Metro,48309,48309,,,
Metro,48271,48271,,,
Metro,48276,48276,,,
Metro,48300,48300,,,
Metro,48326,48326,,,
Metro,48403,48403,,,
Metro,48364,48364,,,
Metro,48380,48380,,,
Metro,48395,48395,,,
Metro,48399,48399,,,
Metro,48377,48377,,,
Metro,48397,48397,,,
Metro,48323,48323,,,
Metro,48376,48376,,,
Metro,48318,48318,,,
Metro,48410,48410,,,
Metro,99387,99387,,,
